

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
209.340  004.494  000.318: require('telescope.previewers.term_previewer')
209.762  000.092  000.092: require('plenary.context_manager')
210.088  000.100  000.100: require('nvim-treesitter.utils')
210.952  000.194  000.194: require('vim.treesitter.language')
211.155  000.199  000.199: require('vim.treesitter._range')
211.166  000.618  000.226: require('vim.treesitter.query')
211.403  000.234  000.234: require('vim.treesitter.languagetree')
211.462  001.129  000.276: require('vim.treesitter')
211.912  001.820  000.692: require('nvim-treesitter.parsers')
212.464  000.104  000.104: require('nvim-treesitter.ts_utils')
212.471  000.221  000.117: require('nvim-treesitter.tsrange')
212.550  000.077  000.077: require('nvim-treesitter.caching')
212.565  000.411  000.113: require('nvim-treesitter.query')
212.581  000.542  000.131: require('nvim-treesitter.configs')
212.631  000.715  000.173: require('nvim-treesitter.info')
212.746  000.114  000.114: require('nvim-treesitter.shell_command_selectors')
212.777  002.927  000.177: require('nvim-treesitter.install')
212.880  000.100  000.100: require('nvim-treesitter.statusline')
212.968  000.086  000.086: require('nvim-treesitter.query_predicates')
212.972  003.205  000.093: require('nvim-treesitter')
212.977  003.427  000.130: require('telescope.previewers.utils')
215.559  002.580  002.580: require('plenary.filetype')
216.049  000.483  000.483: require('plenary.scandir')
216.250  006.906  000.416: require('telescope.previewers.buffer_previewer')
216.259  013.001  000.089: require('telescope.previewers')
216.264  013.089  000.087: require('easypick.previewers')
216.850  000.106  000.106: require('plenary.window.border')
216.938  000.084  000.084: require('plenary.window')
217.023  000.082  000.082: require('plenary.popup.utils')
217.028  000.409  000.137: require('plenary.popup')
217.121  000.091  000.091: require('telescope.pickers.scroller')
217.211  000.087  000.087: require('telescope.actions.state')
217.303  000.089  000.089: require('telescope.actions.utils')
217.492  000.087  000.087: require('telescope.actions.mt')
217.512  000.206  000.118: require('telescope.actions.set')
217.693  000.092  000.092: require('telescope.config.resolve')
217.697  000.183  000.091: require('telescope.pickers.entry_display')
217.964  001.575  000.511: require('telescope.actions')
217.969  001.703  000.127: require('easypick.actions')
218.697  000.080  000.080: require('plenary.tbl')
218.703  000.172  000.092: require('plenary.vararg.rotate')
218.705  000.251  000.079: require('plenary.vararg')
218.784  000.077  000.077: require('plenary.errors')
218.795  000.426  000.098: require('plenary.async.async')
219.303  000.097  000.097: require('plenary.async.structs')
219.314  000.199  000.103: require('plenary.async.control')
219.319  000.317  000.118: require('plenary.async.util')
219.322  000.525  000.208: require('plenary.async.tests')
219.326  001.045  000.094: require('plenary.async')
219.460  000.131  000.131: require('telescope.debounce')
219.603  000.140  000.140: require('telescope.mappings')
219.759  000.152  000.152: require('telescope.pickers.highlights')
219.850  000.088  000.088: require('telescope.pickers.window')
220.108  000.171  000.171: require('telescope.algos.linked_list')
220.113  000.260  000.089: require('telescope.entry_manager')
220.247  000.133  000.133: require('telescope.pickers.multi')
220.268  002.188  000.240: require('telescope.pickers')
220.624  000.236  000.236: require('telescope.make_entry')
220.719  000.091  000.091: require('telescope.finders.async_static_finder')
220.964  000.077  000.077: require('plenary.class')
220.979  000.178  000.102: require('telescope._')
220.982  000.259  000.081: require('telescope.finders.async_oneshot_finder')
221.063  000.079  000.079: require('telescope.finders.async_job_finder')
221.071  000.801  000.135: require('telescope.finders')
221.160  000.086  000.086: require('telescope.themes')
221.165  003.194  000.118: require('easypick.pick')
221.167  018.319  000.101: require('easypick')
221.309  018.628  000.309: require('engeir.easypick')
221.619  000.085  000.085: require('gitsigns.async')
221.854  000.075  000.075: require('gitsigns.message')
221.881  000.259  000.184: require('gitsigns.config')
221.969  000.085  000.085: require('gitsigns.debug.log')
222.058  000.086  000.086: require('gitsigns.uv')
222.063  000.628  000.113: require('gitsigns')
222.896  001.584  000.956: require('engeir.gitsigns')
223.073  000.172  000.172: require('engeir.glow')
223.827  000.749  000.749: require('engeir.grammar-guard')
224.204  000.100  000.100: require('harpoon.utils')
224.438  000.230  000.230: require('harpoon.dev')
225.441  001.453  001.123: require('harpoon')
226.037  002.206  000.752: require('engeir.harpoon')
226.865  000.821  000.821: require('engeir.image-nvim')
227.284  000.096  000.096: require('lsp-zero.presets')
227.507  000.093  000.093: require('lsp-zero.settings')
227.557  000.269  000.175: require('lsp-zero.server')
227.568  000.529  000.164: require('lsp-zero')
228.814  000.354  000.354: require('vim.lsp.log')
229.616  000.798  000.798: require('vim.lsp.protocol')
230.207  000.251  000.251: require('vim.lsp._snippet')
230.398  000.187  000.187: require('vim.highlight')
230.420  000.799  000.362: require('vim.lsp.util')
230.447  002.224  000.272: require('vim.lsp.handlers')
230.705  000.255  000.255: require('vim.lsp.rpc')
230.895  000.187  000.187: require('vim.lsp.sync')
231.135  000.237  000.237: require('vim.lsp.semantic_tokens')
231.369  000.230  000.230: require('vim.lsp.buf')
231.567  000.195  000.195: require('vim.lsp.diagnostic')
231.768  000.198  000.198: require('vim.lsp.codelens')
231.867  003.981  000.455: require('vim.lsp')
231.993  004.229  000.248: require('lspconfig.util')
231.997  004.337  000.108: require('lspconfig.configs')
232.000  004.430  000.093: require('lspconfig')
232.377  000.082  000.082: require('luasnip.session')
232.390  000.212  000.130: require('luasnip.util.util')
232.485  000.093  000.093: require('luasnip.session.snippet_collection')
233.038  000.466  000.466: require('luasnip.util._builtin_vars')
233.187  000.698  000.232: require('luasnip.util.environ')
233.296  000.106  000.106: require('luasnip.util.extend_decorator')
233.475  000.083  000.083: require('luasnip.loaders._caches')
233.603  000.125  000.125: require('luasnip.util.path')
233.626  000.327  000.119: require('luasnip.loaders')
233.795  000.159  000.159: require('luasnip.util.log')
234.019  000.079  000.079: require('luasnip.util.types')
234.113  000.091  000.091: require('luasnip.util.ext_opts')
234.204  000.088  000.088: require('luasnip.extras.filetype_functions')
234.494  000.679  000.421: require('luasnip.config')
234.499  002.496  000.223: require('luasnip')
234.931  000.118  000.118: require('null-ls.utils')
235.262  000.326  000.326: require('vim.diagnostic')
235.315  000.593  000.149: require('null-ls.config')
235.488  000.078  000.078: require('null-ls.helpers.cache')
235.585  000.094  000.094: require('null-ls.helpers.diagnostics')
235.686  000.098  000.098: require('null-ls.helpers.formatter_factory')
235.896  000.106  000.106: require('null-ls.logger')
235.985  000.087  000.087: require('null-ls.state')
235.992  000.303  000.110: require('null-ls.helpers.generator_factory')
236.155  000.081  000.081: require('null-ls.helpers.command_resolver')
236.158  000.164  000.083: require('null-ls.helpers.make_builtin')
236.246  000.086  000.086: require('null-ls.helpers.range_formatting_args_factory')
236.248  000.931  000.108: require('null-ls.helpers')
236.565  000.128  000.128: require('null-ls.methods')
236.570  000.221  000.093: require('null-ls.diagnostics')
236.579  000.329  000.107: require('null-ls.sources')
236.666  000.084  000.084: require('null-ls.builtins')
236.669  002.037  000.101: require('null-ls')
236.965  000.292  000.292: require('null-ls.builtins.diagnostics.golangci_lint')
237.168  000.198  000.198: require('null-ls.builtins.diagnostics.jsonlint')
237.331  000.158  000.158: require('null-ls.builtins.diagnostics.rstcheck')
237.477  000.141  000.141: require('null-ls.builtins.diagnostics.markdownlint')
237.891  000.180  000.180: require('null-ls.builtins.diagnostics.mypy')
238.012  000.116  000.116: require('null-ls.builtins.diagnostics.shellcheck')
238.111  000.094  000.094: require('null-ls.builtins.formatting.beautysh')
238.208  000.092  000.092: require('null-ls.builtins.formatting.bibclean')
238.403  000.108  000.108: require('null-ls.builtins.formatting.black')
238.551  000.092  000.092: require('null-ls.builtins.formatting.fixjson')
238.647  000.093  000.093: require('null-ls.builtins.formatting.fprettify')
238.737  000.085  000.085: require('null-ls.builtins.formatting.gofmt')
238.831  000.091  000.091: require('null-ls.builtins.formatting.isort')
238.923  000.088  000.088: require('null-ls.builtins.formatting.latexindent')
239.056  000.106  000.106: require('null-ls.builtins.formatting.prettierd')
239.257  000.113  000.113: require('null-ls.builtins.formatting.ruff')
239.399  000.093  000.093: require('null-ls.builtins.formatting.shellharden')
239.534  000.131  000.131: require('null-ls.builtins.formatting.shfmt')
239.645  000.099  000.099: require('null-ls.builtins.formatting.stylua')
239.751  000.092  000.092: require('null-ls.builtins.formatting.taplo')
240.607  000.151  000.151: require('null-ls.client')
240.644  006.143  001.491: require('engeir.lsp.null-ls')
241.095  000.179  000.179: require('cmp_nvim_lua')
241.216  000.116  000.116: require('lsp-zero.installer')
241.400  000.088  000.088: require('mason-core.path')
241.630  000.121  000.121: require('mason-core.functional')
241.833  000.074  000.074: require('mason-core.functional.data')
241.841  000.171  000.096: require('mason-core.functional.function')
241.936  000.079  000.079: require('mason-core.functional.relation')
242.026  000.080  000.080: require('mason-core.functional.logic')
242.055  000.652  000.201: require('mason-core.platform')
242.160  000.103  000.103: require('mason.settings')
242.163  000.943  000.100: require('mason')
242.379  000.122  000.122: require('mason-core.log')
242.383  000.218  000.096: require('mason-lspconfig')
243.356  000.093  000.093: require('cmp_nvim_lsp.source')
243.361  000.196  000.103: require('cmp_nvim_lsp')
243.430  000.392  000.197: require('engeir.lsp.handlers')
243.537  000.102  000.102: require('lspconfig.server_configurations.lua_ls')
243.787  000.162  000.162: require('engeir.lsp.settings.lua_ls')
244.274  000.127  000.127: require('lspconfig.server_configurations.pyright')
244.472  000.127  000.127: require('engeir.lsp.settings.pyright')
244.915  000.137  000.137: require('lspconfig.server_configurations.ruff_lsp')
245.164  000.103  000.103: require('lspconfig.server_configurations.ltex')
245.345  000.137  000.137: require('engeir.lsp.settings.ltex')
245.660  000.102  000.102: require('lspconfig.server_configurations.sourcery')
485.020  239.336  239.336: require('engeir.lsp.settings.sourcery')
486.286  000.137  000.137: require('luasnip.loaders.util')
486.918  000.096  000.096: require('luasnip.nodes.util')
487.009  000.088  000.088: require('luasnip.util.events')
487.021  000.331  000.147: require('luasnip.nodes.node')
487.150  000.127  000.127: require('luasnip.nodes.insertNode')
487.249  000.096  000.096: require('luasnip.nodes.textNode')
487.345  000.092  000.092: require('luasnip.util.mark')
487.435  000.087  000.087: require('luasnip.util.pattern_tokenizer')
487.511  000.073  000.073: require('luasnip.util.dict')
487.540  001.021  000.214: require('luasnip.nodes.snippet')
487.819  000.082  000.082: require('luasnip.util.parser.neovim_ast')
487.906  000.084  000.084: require('luasnip.util.str')
489.245  000.115  000.115: require('luasnip.util.directed_graph')
489.253  001.615  001.333: require('luasnip.util.parser.ast_utils')
489.390  000.133  000.133: require('luasnip.nodes.functionNode')
489.526  000.133  000.133: require('luasnip.nodes.choiceNode')
489.670  000.141  000.141: require('luasnip.nodes.dynamicNode')
489.762  000.088  000.088: require('luasnip.util.functions')
489.770  002.228  000.117: require('luasnip.util.parser.ast_parser')
489.908  000.136  000.136: require('luasnip.util.parser.neovim_parser')
489.917  003.514  000.129: require('luasnip.util.parser')
489.922  003.631  000.117: require('luasnip.nodes.snippetProxy')
490.081  000.155  000.155: require('luasnip.util.jsonc')
490.088  004.125  000.201: require('luasnip.loaders.from_vscode')
502.262  016.991  012.866: require('lsp-zero.snippets')
502.490  000.202  000.202: require('lsp-zero.nvim-cmp-setup')
516.468  000.136  000.136: require('mason-core.functional.list')
516.583  000.105  000.105: require('mason-core.functional.string')
516.620  000.482  000.241: require('mason.api.command')
516.860  000.231  000.231: require('mason-registry.sources')
517.612  000.151  000.151: require('mason-lspconfig.settings')
517.744  000.126  000.126: require('mason-lspconfig.lspconfig_hook')
518.050  000.119  000.119: require('mason-core.functional.table')
518.127  000.380  000.261: require('mason-lspconfig.mappings.server')
518.418  000.121  000.121: require('mason-core.EventEmitter')
518.529  000.108  000.108: require('mason-core.optional')
518.795  000.119  000.119: require('mason-core.async')
518.910  000.110  000.110: require('mason-core.async.uv')
518.921  000.388  000.159: require('mason-core.fs')
518.950  000.819  000.203: require('mason-registry')
519.059  000.106  000.106: require('mason-lspconfig.server_config_extensions')
519.184  000.121  000.121: require('lspconfig.server_configurations.omnisharp')
519.451  000.102  000.102: require('mason-core.notify')
519.549  000.093  000.093: require('mason-core.functional.number')
519.581  000.357  000.161: require('mason-lspconfig.api.command')
519.770  000.089  000.089: require('lsp-zero.utils')
519.777  000.194  000.105: require('lsp-zero.state')
521.038  000.175  000.175: require('lspconfig.server_configurations.vimls')
523.459  000.139  000.139: require('mason-lspconfig.server_configurations.ltex')
524.003  000.117  000.117: require('lspconfig.server_configurations.prosemd_lsp')
524.834  000.110  000.110: require('lspconfig.server_configurations.grammarly')
525.773  000.116  000.116: require('lspconfig.server_configurations.ruby_ls')
526.624  000.101  000.101: require('lspconfig.server_configurations.gopls')
527.426  000.119  000.119: require('lspconfig.server_configurations.tsserver')
528.273  000.105  000.105: require('lspconfig.server_configurations.yamlls')
529.125  000.108  000.108: require('lspconfig.server_configurations.rome')
530.673  000.118  000.118: require('lspconfig.server_configurations.bashls')
531.473  000.101  000.101: require('lspconfig.server_configurations.taplo')
532.961  000.112  000.112: require('lspconfig.server_configurations.rust_analyzer')
535.388  308.519  031.156: require('engeir.lsp')
535.760  000.096  000.096: require('lualine_require')
536.963  001.434  001.338: require('lualine')
538.657  000.173  000.173: require('lualine.themes.gruvbox_dark')
542.930  000.189  000.189: require('lualine.utils.mode')
549.558  014.165  012.369: require('engeir.lualine')
550.716  000.125  000.125: require('luasnip.extras')
550.727  000.294  000.169: require('luasnip.extras.fmt')
568.797  019.233  018.939: require('engeir.luasnip')
569.214  000.409  000.409: require('engeir.magma')
569.979  000.095  000.095: require('mind.notify')
569.985  000.259  000.164: require('mind.data')
570.084  000.098  000.098: require('mind.indexing')
570.185  000.097  000.097: require('mind.keymap')
570.285  000.098  000.098: require('mind.node')
570.422  000.135  000.135: require('mind.ui')
